s1,s2,reason
SHIBUSDC,XLMUSDC,beta_out_of_range (0.00)
ETHDAI,PEPEUSDT,beta_out_of_range (698674982.64)
AVAXUSDT,JASMYUSDT,beta_out_of_range (4934.41)
SHIBUSDC,XLMUSDT,beta_out_of_range (0.00)
DOTUSDC,WBTCUSDT,beta_out_of_range (0.00)
BABYDOGEUSDT,SHIBUSDT,beta_out_of_range (0.00)
SHIBUSDT,XLMUSDT,beta_out_of_range (0.00)
BTCUSDC,DGBUSDT,beta_out_of_range (5126682.38)
STETHUSDT,UNIUSDT,beta_out_of_range (231.51)
SHIBUSDT,XLMUSDC,beta_out_of_range (0.00)
ETHUSDC,UNIUSDT,beta_out_of_range (232.20)
BNBUSDT,MANAUSDT,beta_out_of_range (212.42)
AXSUSDT,LUNCUSDC,beta_out_of_range (55338.85)
ARBUSDT,WBTCUSDT,beta_out_of_range (0.00)
DOTUSDT,WBTCUSDT,beta_out_of_range (0.00)
SHIBUSDC,WOOUSDT,beta_out_of_range (0.00)
SUIUSDC,XECUSDT,beta_out_of_range (26060.81)
SHIBUSDT,WOOUSDT,beta_out_of_range (0.00)
ACHUSDT,ETHUSDT,beta_out_of_range (0.00)
ACHUSDT,ETHUSDC,beta_out_of_range (0.00)
SOLEUR,SOLUSDT,pvalue_0.882
SOLEUR,SOLUSDC,pvalue_0.874
ADAEUR,ADAUSDT,pvalue_0.567
XRPEUR,XRPUSDT,pvalue_0.739
ADAEUR,ADAUSDC,pvalue_0.486
XRPEUR,XRPUSDC,pvalue_0.724
LTCEUR,LTCUSDT,pvalue_0.912
ETHEUR,ETHUSDT,pvalue_0.910
LTCEUR,LTCUSDC,pvalue_0.910
ETHEUR,ETHUSDC,pvalue_0.905
ETHEUR,STETHUSDT,pvalue_0.901
DOGEEUR,DOGEUSDT,pvalue_0.330
DOGEEUR,DOGEUSDC,pvalue_0.343
BTCEUR,BTCUSDT,pvalue_0.917
BTCEUR,BTCUSDC,pvalue_0.912
BTCEUR,WBTCUSDT,pvalue_0.856
BTCDAI,BTCEUR,pvalue_0.590
BTCBRZ,BTCUSDC,pvalue_0.276
